Processes: 403 total, 2 running, 401 sleeping, 1668 threads 
2020/08/30 12:31:22
Load Avg: 1.51, 1.70, 1.70 
CPU usage: 7.53% user, 10.95% sys, 81.50% idle 
SharedLibs: 391M resident, 53M data, 48M linkedit.
MemRegions: 71844 total, 3169M resident, 139M private, 1212M shared.
PhysMem: 10G used (2497M wired), 5639M unused.
VM: 2216G vsize, 1991M framework vsize, 3152691(0) swapins, 3366775(0) swapouts.
Networks: packets: 9272571/9600M in, 5120610/866M out.
Disks: 3087464/43G read, 4711613/64G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW      MSGSENT   MSGRECV   SYSBSD   SYSMACH   CSW       PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
5783   nbstated         0.0  00:00.07 2     1   39     3536K 0B    2896K 5783  1     sleeping  0[0]       0.00000 0.00000    0   2828     136      110       244       1670     673       1125      4       29       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
5782   nbagent          0.0  00:02.77 4     1   196    8360K 0B    2300K 5782  1     sleeping *0[1334]    0.00000 0.00000    501 21511    319      12236     14499     78600    50674     86449     43      5892     0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
5615   storeuid         0.0  00:01.04 3     1   166    8132K 0B    4508K 5615  1     sleeping *0[1302]    0.00000 0.00000    501 15435    342      12265     2995      14015    27400     22822     141     278      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
5426   mdworker         0.0  00:00.16 2     1   41     3500K 0B    2944K 5426  1     sleeping *0[1]       0.00000 0.00000    89  3608     210      449       304       4064     1241      1967      4       45       0.0   0      0      _spotlight         N/A    N/A   N/A   N/A   N/A   N/A  
5420   mdworker         0.0  00:00.39 2     1   48     4236K 0B    3672K 5420  1     sleeping *0[1]       0.00000 0.00000    501 4097     210      473       307       16468    1286      1954      4       43       0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
5414   com.apple.BKAgen 0.0  00:00.15 2     1   53     2056K 0B    1040K 5414  1     sleeping  0[0]       0.00000 0.00000    501 6018     196      677       498       2842     2003      2833      63      86       0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
5413   PodcastContentSe 0.0  00:00.32 2     1   52     3988K 0B    2680K 5413  1     sleeping  0[0]       0.00000 0.00000    501 7425     254      511       659       5819     2095      5473      97      120      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
5412   media-indexer    0.0  01:35.52 2     1   62     60M   0B    10M   5412  1     sleeping *0[699]     0.00000 0.00000    501 122815   202      14198     4459      502060   29914     156198    613     250      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
5406   silhouette       0.0  00:00.55 2     1   60     12M   0B    5396K 5406  1     sleeping  0[0]       0.00000 0.00000    501 9736     157      286       73        2217     608       1057      35      3        0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
5405   microstackshot   0.0  00:00.10 2     1   31     1272K 0B    644K  5405  1     sleeping  0[0]       0.00000 0.00000    0   4287     156      424       422       2849     1309      2256      1       86       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
